,genre,ranking,title,year,link
0,action__adventure,1,Black Panther,2018,https://www.rottentomatoes.com/m/black_panther_2018
1,action__adventure,2,Mad Max: Fury Road,2015,https://www.rottentomatoes.com/m/mad_max_fury_road
2,action__adventure,3,Wonder Woman,2017,https://www.rottentomatoes.com/m/wonder_woman_2017
3,action__adventure,4,Coco,2017,https://www.rottentomatoes.com/m/coco_2017
4,action__adventure,5,Dunkirk,2017,https://www.rottentomatoes.com/m/dunkirk_2017
5,action__adventure,6,Star Wars: The Last Jedi,2017,https://www.rottentomatoes.com/m/star_wars_the_last_jedi
6,action__adventure,7,Thor: Ragnarok,2017,https://www.rottentomatoes.com/m/thor_ragnarok_2017
7,action__adventure,8,Logan,2017,https://www.rottentomatoes.com/m/logan_2017
8,action__adventure,9,King Kong,1933,https://www.rottentomatoes.com/m/1011615-king_kong
9,action__adventure,10,The Adventures of Robin Hood,1938,https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood
10,action__adventure,11,Incredibles 2,2018,https://www.rottentomatoes.com/m/incredibles_2
11,action__adventure,12,Metropolis,1927,https://www.rottentomatoes.com/m/1013775-metropolis
12,action__adventure,13,Star Wars: Episode VII - The Force Awakens,2015,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens
13,action__adventure,14,Baby Driver,2017,https://www.rottentomatoes.com/m/baby_driver
14,action__adventure,15,War for the Planet of the Apes,2017,https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes
15,action__adventure,16,Spider-Man: Homecoming,2017,https://www.rottentomatoes.com/m/spider_man_homecoming
16,action__adventure,17,Seven Samurai (Shichinin no Samurai),1956,https://www.rottentomatoes.com/m/seven_samurai_1956
17,action__adventure,18,Zootopia,2016,https://www.rottentomatoes.com/m/zootopia
18,action__adventure,19,Up,2009,https://www.rottentomatoes.com/m/up
19,action__adventure,20,The 39 Steps,1935,https://www.rottentomatoes.com/m/1000121-39_steps
20,action__adventure,21,The Jungle Book,2016,https://www.rottentomatoes.com/m/the_jungle_book_2016
21,action__adventure,22,Jaws,1975,https://www.rottentomatoes.com/m/jaws
22,action__adventure,23,Lawrence of Arabia,1962,https://www.rottentomatoes.com/m/lawrence_of_arabia
23,action__adventure,24,The Dark Knight,2008,https://www.rottentomatoes.com/m/the_dark_knight
24,action__adventure,25,The Treasure of the Sierra Madre,1948,https://www.rottentomatoes.com/m/treasure_of_the_sierra_madre
25,action__adventure,26,Captain America: Civil War,2016,https://www.rottentomatoes.com/m/captain_america_civil_war
26,action__adventure,27,Moana,2016,https://www.rottentomatoes.com/m/moana_2016
27,action__adventure,28,Harry Potter and the Deathly Hallows - Part 2,2011,https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2_2011
28,action__adventure,29,Apocalypse Now,1979,https://www.rottentomatoes.com/m/apocalypse_now
29,action__adventure,30,The Hurt Locker,2009,https://www.rottentomatoes.com/m/the_hurt_locker
30,action__adventure,31,Ant-Man and the Wasp,2018,https://www.rottentomatoes.com/m/ant_man_and_the_wasp
31,action__adventure,32,Skyfall,2012,https://www.rottentomatoes.com/m/skyfall
32,action__adventure,33,Aliens,1986,https://www.rottentomatoes.com/m/1000617-aliens
33,action__adventure,34,Star Wars: Episode IV - A New Hope,1977,https://www.rottentomatoes.com/m/star_wars
34,action__adventure,35,The LEGO Movie,2014,https://www.rottentomatoes.com/m/the_lego_movie
35,action__adventure,36,Star Trek,2009,https://www.rottentomatoes.com/m/star_trek_11
36,action__adventure,37,Blade Runner 2049,2017,https://www.rottentomatoes.com/m/blade_runner_2049
37,action__adventure,38,Kubo and the Two Strings,2016,https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016
38,action__adventure,39,Marvel's The Avengers,2012,https://www.rottentomatoes.com/m/marvels_the_avengers
39,action__adventure,40,Avengers: Infinity War,2018,https://www.rottentomatoes.com/m/avengers_infinity_war
40,action__adventure,41,Mission: Impossible Rogue Nation,2015,https://www.rottentomatoes.com/m/mission_impossible_rogue_nation
41,action__adventure,42,Isle of Dogs,2018,https://www.rottentomatoes.com/m/isle_of_dogs_2018
42,action__adventure,43,The Terminator,1984,https://www.rottentomatoes.com/m/terminator
43,action__adventure,44,The African Queen,1951,https://www.rottentomatoes.com/m/the_african_queen_1951
44,action__adventure,45,WALL-E,2008,https://www.rottentomatoes.com/m/wall_e
45,action__adventure,46,Star Wars: Episode V - The Empire Strikes Back,1980,https://www.rottentomatoes.com/m/empire_strikes_back
46,action__adventure,47,Rio Bravo,1959,https://www.rottentomatoes.com/m/rio_bravo
47,action__adventure,48,Iron Man,2008,https://www.rottentomatoes.com/m/iron_man
48,action__adventure,49,True Grit,2010,https://www.rottentomatoes.com/m/true_grit_2010
49,action__adventure,50,The French Connection,1971,https://www.rottentomatoes.com/m/french_connection
50,action__adventure,51,Once Upon a Time in the West,1968,https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west
51,action__adventure,52,Badlands,1974,https://www.rottentomatoes.com/m/badlands
52,action__adventure,53,Casino Royale,2006,https://www.rottentomatoes.com/m/casino_royale
53,action__adventure,54,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",1972,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god
54,action__adventure,55,Throne of Blood,1957,https://www.rottentomatoes.com/m/throne_of_blood
55,action__adventure,56,The Searchers,1956,https://www.rottentomatoes.com/m/searchers
56,action__adventure,57,Guardians of the Galaxy,2014,https://www.rottentomatoes.com/m/guardians_of_the_galaxy
57,action__adventure,58,The Bridge on the River Kwai,1957,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai
58,action__adventure,59,Hunt for the Wilderpeople,2016,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople
59,action__adventure,60,Chicken Run,2000,https://www.rottentomatoes.com/m/chicken_run
60,action__adventure,61,Doctor Strange,2016,https://www.rottentomatoes.com/m/doctor_strange_2016
61,action__adventure,62,Yellow Submarine,1968,https://www.rottentomatoes.com/m/beatles_the_yellow_submarine
62,action__adventure,63,Dawn Of The Planet Of The Apes,2014,https://www.rottentomatoes.com/m/dawn_of_the_planet_of_the_apes
63,action__adventure,64,The Princess Bride,1987,https://www.rottentomatoes.com/m/princess_bride
64,action__adventure,65,Goldfinger,1964,https://www.rottentomatoes.com/m/goldfinger
65,action__adventure,66,Paths of Glory,1957,https://www.rottentomatoes.com/m/paths_of_glory
